,calendar_code,order_count,restaurant_count,max_temp,min_temp,precipitation,events
2014-09-01,0.0,165,6,30.6,22.8,0.0,Rain
2014-09-02,1.0,138,8,32.8,22.8,15.5,Rain-Thunderstorm
2014-09-03,1.0,127,9,29.4,18.3,0.0,None
2014-09-04,1.0,174,10,29.4,17.2,0.0,None
2014-09-05,1.0,196,11,30.6,21.7,0.0,Fog
2014-09-06,1.0,314,12,32.8,22.2,9.9,Rain-Thunderstorm
2014-09-07,1.0,156,13,27.2,17.8,0.0,None
2014-09-08,1.0,150,7,23.3,17.8,0.0,None
2014-09-09,1.0,137,8,24.4,20.6,0.0,None
2014-09-10,1.0,156,9,26.7,17.8,0.0,None
2014-09-11,1.0,135,10,30.0,20.6,0.0,None
2014-09-12,1.0,187,11,24.4,15.6,0.0,None
2014-09-13,1.0,342,12,21.1,12.8,11.7,Rain
2014-09-14,1.0,202,13,20.6,9.4,0.0,None
2014-09-15,1.0,141,7,22.8,8.3,0.0,None
2014-09-16,1.0,101,8,23.9,13.3,2.8,Rain
2014-09-17,1.0,171,9,23.3,11.7,0.0,None
2014-09-18,1.0,168,10,22.2,10.6,0.0,None
2014-09-19,1.0,222,11,21.7,12.2,0.0,None
2014-09-20,1.0,265,11,25.6,14.4,0.0,None
2014-09-21,1.0,213,13,26.7,16.1,0.0,None
2014-09-22,1.0,150,7,22.2,10.0,0.0,None
2014-09-23,1.0,154,9,21.1,6.1,0.0,None
2014-09-24,1.0,154,9,22.8,10.0,2.8,Rain
2014-09-25,1.0,203,10,17.8,13.9,26.9,Rain
2014-09-26,1.0,216,11,25.6,11.1,0.0,None
2014-09-27,1.0,267,12,28.3,11.7,0.0,None
2014-09-28,1.0,246,12,27.2,13.3,0.0,None
2014-09-29,1.0,179,8,22.8,15.6,2.3,Rain
2014-09-30,1.0,143,9,25.0,17.2,0.3,Rain
2014-11-01,1.0,353,16,10.6,6.7,16.8,Rain
2014-11-02,1.0,236,15,10.0,3.3,0.0,Rain
2014-11-03,1.0,220,11,15.0,3.3,0.0,None
2014-11-04,0.0,234,12,21.7,7.2,0.0,None
2014-11-05,1.0,222,13,20.0,8.3,0.3,Rain
2014-11-06,1.0,190,13,13.9,8.9,15.0,Rain
2014-11-07,1.0,283,14,12.8,2.2,0.0,None
2014-11-08,1.0,268,15,10.0,-1.1,0.0,None
2014-11-09,1.0,223,16,14.4,3.3,0.0,None
2014-11-10,1.0,172,10,15.6,0.6,0.0,None
2014-11-11,1.0,183,11,18.9,3.3,0.0,None
2014-11-12,1.0,252,13,20.0,4.4,0.3,Fog-Rain
2014-11-13,1.0,225,14,7.8,1.1,3.8,Rain-Snow
2014-11-14,1.0,270,16,6.1,0.0,0.0,None
2014-11-15,1.0,322,16,6.1,-2.8,0.0,None
2014-11-16,1.0,304,16,6.7,-2.8,1.8,Rain
2014-11-17,1.0,281,12,10.0,5.0,31.2,Rain
2014-11-18,1.0,271,12,6.1,-5.0,0.0,None
2014-11-19,1.0,323,14,0.6,-7.2,0.0,None
2014-11-20,1.0,258,15,10.0,-1.1,0.0,None
2014-11-21,1.0,331,16,2.8,-3.3,0.0,None
2014-11-22,1.0,339,16,7.8,-6.7,0.0,None
2014-11-23,1.0,290,16,12.8,1.7,0.0,None
2014-11-24,1.0,270,12,22.2,12.8,9.1,Rain
2014-11-25,1.0,202,13,20.0,6.7,0.0,None
